,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
69,89,70,19,8,54,28,82,81,37,56,11,558,892,791,3206,2298,3432,61038,,2021-05-07 08:46:00,2021-05-07 08:51:00,,,254,254,,0.38,12.72,2.75,0.0,0.0,0.0,,0.3,15.77,,,
20,43,41,61,31,80,25,48,38,63,57,35,736,297,984,1262,2863,6879,42519,2.0,2021-05-27 04:41:44,2021-05-27 04:53:17,N,1.0,75,75,1.0,0.92,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0
94,9,95,96,67,84,39,74,98,47,40,1,859,574,532,1480,4179,6529,66176,,2021-05-14 08:11:00,2021-05-14 08:24:00,,,61,49,,2.17,16.73,2.75,0.0,0.0,0.0,,0.3,19.78,,,
72,49,5,93,83,46,17,24,45,15,30,60,569,759,866,1412,1861,4131,83789,,2021-05-20 10:48:00,2021-05-20 10:58:00,,,218,205,,1.77,18.58,2.75,0.0,0.0,0.0,,0.3,21.63,,,
77,94,9,95,96,67,84,39,74,98,47,40,230,527,799,1643,4281,8419,30649,2.0,2021-05-20 10:18:05,2021-05-20 10:28:07,N,1.0,74,43,1.0,1.2,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
25,48,38,63,57,35,27,99,44,4,75,69,576,259,38,3897,4355,4958,65463,,2021-05-25 08:24:00,2021-05-25 08:50:00,,,56,130,,4.99,27.7,2.75,0.0,0.0,0.0,,0.3,30.75,,,
37,56,11,92,21,62,66,32,90,87,12,78,601,669,712,2819,8,2670,59191,,2021-05-10 13:38:00,2021-05-10 14:32:00,,,134,247,,14.61,39.27,1.35,0.0,0.0,6.55,,0.3,47.47,,,
81,37,56,11,92,21,62,66,32,90,87,12,784,525,392,1991,2526,6293,78069,,2021-05-16 16:33:00,2021-05-16 17:06:00,,,129,17,,6.81,36.45,2.75,0.0,0.0,0.0,,0.3,39.5,,,
46,17,24,45,15,30,60,10,53,34,51,59,319,49,587,415,4902,7224,64722,,2021-05-25 07:28:00,2021-05-25 07:49:00,,,238,69,,5.95,25.46,2.75,0.0,0.0,0.0,,0.3,28.51,,,
39,74,98,47,40,1,86,58,23,71,29,76,389,724,645,223,3464,1050,21472,2.0,2021-05-14 17:32:57,2021-05-14 17:42:04,N,1.0,75,238,6.0,1.63,8.5,1.0,0.5,0.0,0.0,,0.3,13.05,2.0,1.0,2.75
