,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
53,34,51,59,52,0,26,6,16,22,3,55,582,831,371,29457,2.0,2021-06-17 10:54:15,2021-06-17 11:04:24,N,1.0,236,237,1.0,1.52,8.5,0.0,0.5,0.0,0.0,,0.3,12.05,2.0,1.0,2.75
92,21,62,66,32,90,87,12,78,72,49,5,971,845,778,72572,,2021-06-23 07:32:00,2021-06-23 07:58:00,,,42,230,,6.92,25.65,0.0,0.0,0.0,0.0,,0.3,28.7,,,
78,72,49,5,93,83,46,17,24,45,15,30,823,841,770,78884,,2021-06-27 10:39:00,2021-06-27 11:20:00,,,218,42,,17.59,50.19,2.75,0.0,0.0,6.55,,0.3,59.79,,,
13,13,13,13,13,13,13,13,13,13,13,13,239,181,999,32165,2.0,2021-06-18 16:00:01,2021-06-18 16:09:26,N,1.0,42,74,1.0,1.52,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,2.0,1.0,0.0
7,73,97,64,79,77,94,9,95,96,67,84,909,398,837,33794,2.0,2021-06-19 15:22:05,2021-06-19 15:25:32,N,1.0,75,236,1.0,0.83,4.5,0.0,0.5,2.01,0.0,,0.3,10.06,1.0,1.0,2.75
30,60,10,53,34,51,59,52,0,26,6,16,906,633,682,79771,,2021-06-10 21:24:00,2021-06-10 21:44:00,,,243,51,,9.36,33.14,5.5,0.0,0.0,0.0,,0.3,38.94,,,
22,3,55,50,91,36,18,33,68,14,7,73,247,2,298,24255,1.0,2021-06-14 14:45:59,2021-06-14 14:55:11,N,1.0,41,166,1.0,1.1,7.5,0.5,0.5,0.88,0.0,,0.3,9.68,1.0,1.0,0.0
24,45,15,30,60,10,53,34,51,59,52,0,993,707,168,66547,,2021-06-04 09:09:00,2021-06-04 09:34:00,,,218,95,,7.53,29.56,2.75,0.0,0.0,0.0,,0.3,32.61,,,
33,68,14,7,73,97,64,79,77,94,9,95,485,546,26,74463,,2021-06-23 08:06:00,2021-06-23 08:17:00,,,185,51,,3.03,18.96,2.75,0.0,0.0,0.0,,0.3,22.01,,,
8,54,28,82,81,37,56,11,92,21,62,66,264,818,296,31013,1.0,2021-06-17 23:51:49,2021-06-18 00:06:42,N,1.0,129,264,1.0,3.7,14.5,0.5,0.5,0.0,0.0,,0.3,15.8,2.0,1.0,0.0
